Result;Result Combination;;;Loading.1;;;;Loading.2;;;;Loading.3;;;;Loading.4;;;;Loading.5;;;;Loading.6;;;;
Combin.;DS;Description;To Solve;Factor;No.;Crit.;Gr.;Factor;No.;Crit.;Gr.;Factor;No.;Crit.;Gr.;Factor;No.;Crit.;Gr.;Factor;No.;Crit.;Gr.;Factor;No.;Crit.;Gr.;Comment
