Node;Node Coordinates;;
No.;X [mm];Y [mm];Z [mm]
193;12947.6;263.4;5200.0
194;12413.9;612.3;5200.0
195;13915.0;312.5;5200.0
196;14195.0;416.7;5200.0
197;13936.1;763.8;5200.0
198;13248.9;519.3;5200.0
199;13635.0;0.0;5200.0
200;14755.0;0.0;5200.0
201;15021.9;348.7;5200.0
202;14475.0;312.5;5200.0
203;14462.0;778.1;5200.0
204;15875.0;0.0;5200.0
205;16435.0;416.7;5200.0
206;15876.3;472.0;5200.0
207;16995.0;0.0;5200.0
208;17321.9;545.7;5200.0
209;16873.0;902.9;5200.0
210;18115.0;0.0;5200.0
211;18395.0;312.5;5200.0
212;17885.0;348.8;5200.0
213;19235.0;0.0;5200.0
214;19892.3;237.6;5200.0
215;19603.8;444.2;5200.0
216;18955.0;312.5;5200.0
217;18902.7;737.2;5200.0
218;18675.0;416.7;5200.0
219;18424.2;788.9;5200.0
220;20355.0;0.0;5200.0
221;20915.0;416.7;5200.0
222;20352.9;590.9;5200.0
223;21492.5;0.0;5200.0
224;22070.0;416.7;5200.0
225;21524.1;830.1;5200.0
226;20915.0;1250.0;5200.0
227;22070.0;1250.0;5200.0
228;21423.2;1650.8;5200.0
229;20915.0;2083.3;5200.0
230;22070.0;2083.3;5200.0
231;21492.5;2500.0;5200.0
232;20635.0;2187.5;5200.0
233;20594.4;1745.4;5200.0
234;20355.0;2500.0;5200.0
235;19699.8;2181.6;5200.0
236;20035.3;1926.5;5200.0
237;18675.0;2083.3;5200.0
238;19150.4;1770.3;5200.0
239;19235.0;2500.0;5200.0
240;17651.5;2133.6;5200.0
241;18228.3;1704.1;5200.0
242;18115.0;2500.0;5200.0
243;16995.0;2500.0;5200.0
244;16715.0;2187.5;5200.0
245;17297.4;1909.3;5200.0
246;15875.0;2500.0;5200.0
247;15219.1;2103.5;5200.0
248;15525.4;1869.1;5200.0
249;16155.0;2187.5;5200.0
250;16159.5;1744.2;5200.0
251;16435.0;2083.3;5200.0
252;16692.8;1741.0;5200.0
253;14195.0;2083.3;5200.0
254;14681.1;1656.0;5200.0
255;14755.0;2500.0;5200.0
256;13168.3;2236.0;5200.0
257;13656.2;1887.5;5200.0
258;13635.0;2500.0;5200.0
259;12235.0;2187.5;5200.0
260;11955.0;2083.3;5200.0
261;12266.4;1744.0;5200.0
262;12872.6;1979.2;5200.0
263;12515.0;2500.0;5200.0
264;10956.7;2236.0;5200.0
265;11492.7;1886.9;5200.0
266;11395.0;2500.0;5200.0
267;9995.0;2187.5;5200.0
268;9715.0;2083.3;5200.0
269;10024.2;1744.4;5200.0
270;10645.8;1977.9;5200.0
271;10275.0;2500.0;5200.0
272;8722.4;2236.6;5200.0
273;9256.1;1887.7;5200.0
274;9155.0;2500.0;5200.0
275;7755.0;2187.5;5200.0
276;7475.0;2083.3;5200.0
277;7733.9;1736.2;5200.0
278;8421.1;1980.7;5200.0
279;8035.0;2500.0;5200.0
280;6915.0;2500.0;5200.0
281;6648.1;2151.3;5200.0
282;7195.0;2187.5;5200.0
283;7208.0;1721.9;5200.0
284;5795.0;2500.0;5200.0
285;5235.0;2083.3;5200.0
286;5793.7;2028.0;5200.0
287;4675.0;2500.0;5200.0
288;4348.1;1954.3;5200.0
289;4797.0;1597.1;5200.0
290;3555.0;2500.0;5200.0
291;3275.0;2187.5;5200.0
292;3785.0;2151.2;5200.0
293;2435.0;2500.0;5200.0
294;1777.7;2262.4;5200.0
295;2066.2;2055.8;5200.0
296;2715.0;2187.5;5200.0
297;2767.3;1762.8;5200.0
298;2995.0;2083.3;5200.0
299;3245.8;1711.1;5200.0
300;1317.1;1909.1;5200.0
301;1315.0;2500.0;5200.0
302;2085.3;989.9;5200.0
303;1595.0;937.5;5200.0
304;2669.1;1333.4;5200.0
305;2155.0;1562.5;5200.0
306;2995.0;1250.0;5200.0
307;3622.0;1368.2;5200.0
308;4395.0;937.5;5200.0
309;4002.5;1063.9;5200.0
310;4643.8;1036.8;5200.0
311;4271.5;1406.8;5200.0
312;3835.0;1562.5;5200.0
313;6563.8;1069.1;5200.0
314;6075.0;937.5;5200.0
315;6880.9;1379.5;5200.0
316;6635.0;1562.5;5200.0
317;5235.0;1250.0;5200.0
318;7475.0;1250.0;5200.0
319;14195.0;1250.0;5200.0
320;14789.1;1120.5;5200.0
321;15035.0;937.5;5200.0
322;15106.3;1430.9;5200.0
323;15595.0;1562.5;5200.0
324;17026.2;1463.2;5200.0
325;16435.0;1250.0;5200.0
326;19584.7;1510.1;5200.0
327;19000.9;1166.6;5200.0
328;19515.0;937.5;5200.0
