Found.;;Spring constants;Translation Support or Spring [kN/m3];;;Shear Spring [kN/m];;Foundation;
No.;On Surfaces No.;by RF-SOILIN;Cux;Cuy;Cuz;Cv,xz;Cv,yz;Ineffectiveness;Comment
