Support;;Reference;Rotation;Wall;Support or Spring [kN/m2];;;Rotational Restraint or Spring [kNm/rad/m];;;
No.;On Lines No.;System;beta [°];in Z;uX;uY;uZ;phiX;phiY;phiZ;Comment
