1D Member FE;Member;FE Mesh Node Index;
No.;No.;1;2
397;150;560;485
398;150;485;561
399;150;561;68
400;151;62;63
401;152;64;63
402;153;64;564
403;153;564;463
404;153;463;565
405;153;565;466
406;153;466;566
407;153;566;469
408;153;469;567
409;153;567;472
410;153;472;568
411;153;568;475
412;153;475;569
413;153;569;478
414;153;478;570
415;153;570;481
416;153;481;571
417;153;571;67
418;154;66;65
419;155;67;66
420;156;68;573
421;156;573;486
422;156;486;574
423;156;574;489
424;156;489;575
425;156;575;67
