Member;Line;;Cross-Section No.;;Member Rotation;;Hinge No.;;Eccentr.;Division;Taper;Length;Weight;;
No.;No.;Member Type;Start;End;Type;beta [°];Start;End;No.;No.;Shape;L [mm];W [kg];;Comment
74;74;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
75;75;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
76;76;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
77;77;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
78;78;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
79;79;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
80;80;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
81;81;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
82;82;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
83;83;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
84;84;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
85;85;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
86;86;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
87;87;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
88;88;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
89;89;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
90;90;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
91;91;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
92;92;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
93;93;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
94;94;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
95;95;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
96;96;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
97;97;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
98;98;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
99;99;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
100;100;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
101;101;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
102;102;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
103;103;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
104;104;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
105;105;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
106;106;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
107;107;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
108;108;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
109;109;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
110;110;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
111;111;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
112;112;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
113;113;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
114;114;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
115;115;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
116;116;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
117;117;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
118;118;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
119;119;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
120;120;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
121;121;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
122;122;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
123;123;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
124;124;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
125;125;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
126;126;Beam;1;1;Angle;0.00;0;0;0;0;;3356.7;47.64;XY;
127;127;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
128;128;Beam;2;2;Angle;0.00;0;0;0;0;;2240.0;158.80;X;
129;129;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
130;130;Beam;1;1;Angle;0.00;0;0;0;0;;2886.2;40.96;XZ;
131;131;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
132;132;Beam;2;2;Angle;0.00;0;0;0;0;;2275.0;161.28;X;
133;133;Beam;1;1;Angle;0.00;0;0;0;0;;3380.2;47.97;XY;
134;134;Beam;2;2;Angle;0.00;0;0;0;0;;2275.0;161.28;X;
135;135;Beam;2;2;Angle;0.00;0;0;0;0;;1155.0;81.88;X;
136;136;Beam;1;1;Angle;0.00;0;0;0;0;;2899.9;41.16;XZ;
137;137;Beam;2;2;Angle;0.00;0;0;0;0;;1155.0;81.88;X;
138;138;Beam;1;1;Angle;0.00;0;0;0;0;;2899.9;41.16;XZ;
139;139;Beam;4;4;Angle;0.00;0;0;0;0;;7690.3;394.21;YZ;
140;140;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
